Year,Crop-1 Yield (metric ton/ha),Crop-2 Yield (metric ton/ha),Crop-3 Yield (metric ton/ha),Livestock Productivity (kCal/ha),Annual Rainfall (mm),Local Energy Produced (MWh),Imported Water (m^3),Imported Energy (MWh),Imported Food (kCal)
2010,6.55,0,0,0,1960,200,100,-999,1000
2011,6.842,0,0,0,1960,200,100,-999,1000
2012,7.079,0,0,0,1960,200,100,-999,1000
2013,7.14,0,0,0,1960,200,100,-999,1000
2014,7.381,0,0,0,1960,200,100,-999,1000
2015,7.254,0,0,0,1960,200,100,-999,1000
2016,7.272,0,0,0,1960,200,100,-999,1000
2017,7.272,0,0,0,1960,200,100,-999,1000
2018,7.246,0,0,0,1960,200,100,-999,1000
2019,7.228,0,0,0,1960,200,100,-999,1000
2020,7.211,0,0,0,1960,200,100,-999,1000
2021,7.228,0,0,0,1960,200,100,-999,1000
2022,7.263,0,0,0,1960,200,100,-999,1000
2023,7.263,0,0,0,1960,200,100,-999,1000
2024,7.289,0,0,0,1960,200,100,-999,1000
2025,7.289,0,0,0,1960,200,100,-999,1000
2026,7.263,0,0,0,1960,200,100,-999,1000
2027,7.263,0,0,0,1960,200,100,-999,1000
2028,7.263,0,0,0,1960,200,100,-999,1000
2029,7.237,0,0,0,1960,200,100,-999,1000
2030,7.211,0,0,0,1960,200,100,-999,1000
